gender,label:de,label:en,label:el,label:el:norm,alternatives,Nom Sg,Gen Sg,Dat Sg,Akk Sg,Voc Sg,nomina insignia,source,note,factgrid,label:lat
m,Achaikus,Achaicus,Ἀχαϊκός,αχαικος,,Ἀχαϊκός,Ἀχαϊκοῦ,,,,,"Bauer,Louw-Naida",im Bauer als Achaicus,,
m,Äneas,Aeneas,Αἰνέας,αινεας,,Αἰνέας,Αινεου,,Αἰνέαν,Αἰνέα,,"Bauer,Louw-Naida",im Bauer als Aeneas,,
m,Amminadab,Amminadab,Ἀμιναδάβ,αμιναδαβ,"Ἀμιναδάμ,Ἀμινάδαβος",Ἀμιναδάβ,"Ἀμιναδάβ,Αμιναδαβου",,Ἀμιναδὰβ,,,"Bauer,Louw-Naida",im Bauer als Aminadab,https://database.factgrid.de/entity/Q166409,
m,Hananias,Ananias,Ἁνανίας,ανανιας,"Ἀνανίας,Ἀνάνιος,Ἄνανις",Ἁνανίας,Ἁνανιου,,Ἁνανίαν,Ἁνανία,,"Bauer,Louw-Naida",im Bauer als Ananias,https://database.factgrid.de/entity/Q166410,
m,Andronikus,Andronicus,Ἀνδρόνικος,ανδρονικος,,Ἀνδρόνικος,Ανδρονικου,,Ἀνδρόνικον,,,"Bauer,Louw-Naida",im Bauer als Andronicus,,
f,Aphia,Apphia,Ἀπφία,απφια,,Ἀπφία,Απφιας,Ἀπφίᾳ,,,,"Bauer,Louw-Naida",im Bauer als Apphia,,
m,Ram,Ram,Ἀράμ,αραμ,,Ἀράμ,Ἀράμ,,,,,Bauer,im Bauer als Aram,https://database.factgrid.de/entity/Q166422,
m,Aristarch,Aristarchus,Ἀρίσταρχος,αρισταρχος,,Ἀρίσταρχος,Αρισταρχου,,Ἀρίσταρχον,,,"Bauer,Louw-Naida",im Bauer als Aristarchus,,
m,Aristobul,Aristobulus,Ἀριστόβουλος,αριστοβουλος,,Ἀριστόβουλος,Αριστοβουλου,,,,,"Bauer,Louw-Naida",im Bauer als Aristobulus,,
m,Arpachschad,Arphaxad,Ἀρφαξάδ,αρφαξαδ,Ἀρφαξάδης,Ἀρφαξάδ,"Ἀρφαξάδ,Αρφαξαδου",,,,,Bauer ,im Bauer als Arphachsad,,
m,Asynkritus,Asyncritus,Ἀσύγκριτος,ασυγκριτος,,Ἀσύγκριτος,Ασυγκριτου,,Ἀσύγκριτον,,,"Bauer,Louw-Naida",im Bauer als Asyncritus,,
m,Berechja,Barachiah,Βαραχίας,βαραχιας,,Βαραχίας,Βαραχιου,,Βαραχιον,,,Bauer,im Bauer als Barachja,https://database.factgrid.de/entity/Q166470,
m,Barjona,Barjona,Βαριωνᾶ,βαριωνα,"Βαριονὰν,Βαριωνᾶς,Βὰρ Ἰωνᾶ,Βαριωνά","Βαριωνᾶ,Βαριωνᾶς",Βαριωνᾶ,,,,,Bauer,"im Bauer als Barjona,in Louw-Naida als Bar-Jonas,(Beiname von Simon vgl. Mt 16,17)","https://database.factgrid.de/entity/Q166488,https://database.factgrid.de/entity/Q166489",
m,Bartholomäus,Bartholomew,Βαρθολομαῖος,βαρθολομαιος,"Θολεμαῖος,Θολομαῖος,βαρθολομεος",Βαρθολομαῖος,Βαρθολομαιου,,Βαρθολομαῖον,,,"Bauer,Louw-Naida",im Bauer als Bartholomaeus,https://database.factgrid.de/entity/Q166527,
m,Bartimäus,Bartimaeus,Βαρτιμαῖος,βαρτιμαιος,"Βαρτίμαιος,Βαρτειμίας",Βαρτιμαῖος,Βαρτιμαιου,,,,,"Bauer,Louw-Naida",im Bauer als Bartimaeus,https://database.factgrid.de/entity/Q166571,
m,Beor,Bosor,Βοσόρ,βοσορ,,Βοσόρ,Βοσόρ,,,,,Bauer,im Bauer als Bosor,https://database.factgrid.de/entity/Q166557,
