label:en|gender|label:el|alternatives|Nom Sg|Gen Sg|Dat Sg|Akk Sg|Voc Sg|factgrid
Jesaja|m|Ησαιας|||||||
Jesse, son of Obed|m|Ἰεσσαί||Ἰεσσαί|Ἰεσσαί||Ἰεσσαί||https://database.factgrid.de/entity/Q167418
Jesus|m|Ιησους|ΙΣ,ιη,ιης,ιηυ,ισ,ιην,ιω|Ιησους,ΙΣ|Ἰησοὺ,ΙΥ|Ἰησοῦ,ΙΥ|Ἰησοῦν,ΙΝ|Ἰησοῦ,ΙΥ|https://database.factgrid.de/entity/Q167421
Joachim|m|Ιωακιμ|||||||
Joanan, son of Rhesa|m|Ἰωανάν|ιωανναν||Ἰωανὰν||||https://database.factgrid.de/entity/Q167461
Joanna, wife of Chuza|f|Ἰωάννα|ιωαννου,ιαννα,ιωναν,ιωανα|Ἰωάννα|||||https://database.factgrid.de/entity/Q167462
Joas|m|Ιωας|ιωννα||||||
Joatham|m|Ιωαθαμ|||||||
Jobed|m|Ιωβηδ|||||||
Joel|m|Ἰωήλ|||Ἰωήλ||||
John|m|Ἰωάννης|ιωανης,ιωανου|Ἰωάννης|Ἰωάννου|Ἰωάννῃ|Ἰωάννην||https://database.factgrid.de/entity/Q167513,https://database.factgrid.de/entity/Q167512,https://database.factgrid.de/entity/Q167514,https://database.factgrid.de/entity/Q167524
Jonah, Jonas|m|Ἰωνᾶς|ιωνα|Ἰωνᾶς|Ἰωνᾶ||||https://database.factgrid.de/entity/Q169266
Jonam|m|Ἰωνάμ|||Ἰωνάμ||||
Jonan, son of Eliakim|m|Ιωναν|||||||https://database.factgrid.de/entity/Q167528
Jonathas|m|Ιωναθας|||||||
Joram|m|Ἰωράμ||Ἰωρὰμ|||Ἰωρὰμ||
Jorim, son of Matthat|m|Ἰωρίμ|||Ἰωρίμ||||https://database.factgrid.de/entity/Q167553
Josaphar|m|Ιωσαφατ|||||||
Jose|m|Ιοσης|||||||
Jose, son of Eliezer|m||||||||
Joseph|m|Ιωσηφ|Ιωσληχ|Ἰωσήφ|Ἰωσήφ|Ἰωσήφ|Ἰωσήφ||https://database.factgrid.de/entity/Q167563,https://database.factgrid.de/entity/Q167566,https://database.factgrid.de/entity/Q167562,https://database.factgrid.de/entity/Q167570,https://database.factgrid.de/entity/Q167556,https://database.factgrid.de/entity/Q167565,https://database.factgrid.de/entity/Q167564
Josiah|m|Ἰωσίας|ιωσσιαν,ιωσειαν|Ἰωσίας|||Ἰωσίαν||https://database.factgrid.de/entity/Q167569
Juda|m|Ιωδα|Ιουδα||||||https://database.factgrid.de/entity/Q167601,https://database.factgrid.de/entity/Q167602
Judas|m|Ἰούδας||Ἰούδας|Ἰούδα||Ἰούδαν|Ἰούδα|https://database.factgrid.de/entity/Q167611,https://database.factgrid.de/entity/Q167617,https://database.factgrid.de/entity/Q167614,https://database.factgrid.de/entity/Q167616
Julia|f|Ἰουλία||Ἰουλία|||Ἰουλίαν||https://database.factgrid.de/entity/Q167620
Julius|m|Ἰούλιος||Ἰούλιος||Ἰουλίῳ|||https://database.factgrid.de/entity/Q167621
Junia|f|Ἰουλία||Ἰουλία|||Ἰουλίαν||https://database.factgrid.de/entity/Q167622
Junias|m|Ἰουνιᾶς|||||Ἰουνίαν||https://database.factgrid.de/entity/Q167622
Justus|m|Ἰοῦστος||Ἰοῦστος|Ἰούστου||||https://database.factgrid.de/entity/Q167625,https://database.factgrid.de/entity/Q167421
Kephas|m|Κηφας|||||||
Lazarus|m|Λάζαρος||Λάζαρος|||Λάζαρον|Λάζαρε|https://database.factgrid.de/entity/Q167677,https://database.factgrid.de/entity/Q167678
Lekrta|f|Λεκτρα|||||||
Levi|m|Λευί||Λευί|Λευί||Λευὶν||https://database.factgrid.de/entity/Q167688,https://database.factgrid.de/entity/Q167689
Linus|m|Λίνος||Λίνος|||||https://database.factgrid.de/entity/Q167694
Lois|f|Λωΐς||Λωΐς||Λωΐδι|||https://database.factgrid.de/entity/Q167696
Lot|m|Λώτ||Λώτ|Λώτ||Λώτ||
Lucius|m|Λούκιος||Λούκιος|||||https://database.factgrid.de/entity/Q167702
Luke|m|Λουκᾶς||Λουκᾶς|||||
Lydia|f|Λυδία|λυδδιαν|Λυδία|||Λυδίαν||https://database.factgrid.de/entity/Q167706
Lysanias|m|Λυσανίας|||Λυσανίου||||https://database.factgrid.de/entity/Q167707
Maath, son of Mattathias|m|Μάαθ|||Μάαθ||||https://database.factgrid.de/entity/Q167743
Malchus|m|Μάλχος||Μάλχος|||||https://database.factgrid.de/entity/Q167794
Manaen|m|Μαναήν||Μαναήν|||||https://database.factgrid.de/entity/Q167805
Mark |m|Μᾶρκος||Μᾶρκος|Μάρκου||Μᾶρκον||
Martha, sister of Mary and Lazarus|f|Μάρθα|μαρθασ|Μάρθα|Μάρθας||Μάρθαν|Μάρθα|https://database.factgrid.de/entity/Q167821
Magdalene|f|Μαγδαληνη|μαγδανηνη,μαγδαληνηι,μαγδαληνι,μαμδαλινη,μαγδαληνει,μαγδαληνη,μαγδαλινη||||||
Mary|f|Μαρία|μαριαρ,μαριαι,μαρηαμ,μαριασ,μαρηα,μαρι,μαριαμ,μαριας,μαρηαν|Μαρία|Μαρίας|Μαρίᾳ|Μαρίαν||https://database.factgrid.de/entity/Q167827,https://database.factgrid.de/entity/Q167826,https://database.factgrid.de/entity/Q167823,https://database.factgrid.de/entity/Q167825,https://database.factgrid.de/entity/Q167824,https://database.factgrid.de/entity/Q167822
Mattatha, son of Nathan|m|Ματταθά|||Ματταθά||||https://database.factgrid.de/entity/Q167846
Mattathias|m|Ματταθίας|||Ματταθίου||||https://database.factgrid.de/entity/Q167848,https://database.factgrid.de/entity/Q167849
Matthan, son of Eleazar|m|Ματθάν|μαθθαν|Ματθὰν|||Ματθὰν||https://database.factgrid.de/entity/Q167853
Matthat, son of Levi|m|Μαθθὰτ|||Μαθθὰτ||||https://database.factgrid.de/entity/Q167854
Matthew|m|Μαθθαῖος||Μαθθαῖος|||Μαθθαῖον||https://database.factgrid.de/entity/Q167856
Matthias|m|Μαθθίας||Μαθθίας|||Μαθθίαν||https://database.factgrid.de/entity/Q167857
Melchi|m|Μελχὶ|||Μελχὶ||||https://database.factgrid.de/entity/Q167874,https://database.factgrid.de/entity/Q167873
Melea, son of Menan|m|Μελεὰ|||Μελεὰ||||https://database.factgrid.de/entity/Q167879
Menan, son of Mattatha|m|Μεννα|||||||https://database.factgrid.de/entity/Q167885
Methusalem|m|Μαθουσαλα|||||||
Michael|m|Μιχαήλ||Μιχαὴλ|||||
Mnason|m|Μνάσων||||Μνάσωνί|||https://database.factgrid.de/entity/Q168010
Mose|m|Μωϋσῆς||Μωϋσῆς|Μωϋσέως|Μωϋσεῖ,Μωϋσῇ|Μωϋσέα,Μωϋσῆν||
Mother of the Wife of Simon-Peter|f||||||||https://database.factgrid.de/entity/Q168020
Mother of Zebedee’s children|f||||||||https://database.factgrid.de/entity/Q168021
Naasson, son of Amminadab|m|Ναασσων|||||||https://database.factgrid.de/entity/Q168035
Nachor|m|Ναχωρ|||||||
Nagge, son of Maath|m|Ναγγαι|||||||https://database.factgrid.de/entity/Q168044
Nahum|m|Ναούμ|||Ναοὺμ||||
Naiman|m|Ναιμαν|||||||
Naphtali|m|Νεφθαλίμ|||Νεφθαλὶμ||||
Narcissus|m|Νάρκισσος|||Ναρκίσσου||||https://database.factgrid.de/entity/Q168066
Nathan, son of David and Bathsheba|m|Ναθάμ|||Ναθὰμ||||https://database.factgrid.de/entity/Q168067
Nathanael, disciple of Jesus of Nazareth|m|Ναθαναὴλ|αθαναηλ,ναθαηλ|Ναθαναὴλ|||Ναθαναὴλ||https://database.factgrid.de/entity/Q168073
Naum, son of Esli|m|Ναούμ|||||||https://database.factgrid.de/entity/Q168075
Nereus|m|Νηρεύς|||||Νηρέα||https://database.factgrid.de/entity/Q168105
Neri, son of Melchi|m|Νηρί|||Νηρὶ||||https://database.factgrid.de/entity/Q168108
Nicanor|m|Νικάνωρ|||||Νικάνορα||https://database.factgrid.de/entity/Q168126
Nicodemus|m|Νικόδημος|νικοδημος,νικωδιμος,νηκοδημος,νικοδημοσ,νικωδης,εικοδημος,νεικοδημος,νικοδιμος|Νικόδημος|||||https://database.factgrid.de/entity/Q168127
Nicolas|m|Νικόλαος|||||||https://database.factgrid.de/entity/Q168128
Noah|m|Νῶε||Νῶε|Νῶε||Νῶε||
Nympha|f|Νυμφα|Νύμφης||Νυμφας,Νυμφης|Νύμφαν|||
Nymphas|m|Νυμφας|||Νυμφα|Νύμφαν|||
Octavianus Augustus|m|Καισαρος Αυγουστος|||||||https://database.factgrid.de/entity/Q166039
Olympas|m|Ὀλυμπᾶς|||||Ὀλυμπᾶν||https://database.factgrid.de/entity/Q168168
Onesimus|m|Ὀνήσιμος||||Ὀνησίμῳ|Ὀνήσιμον||https://database.factgrid.de/entity/Q168178
Onesiphorus|m|Ὀνησίφορος|||Ὀνησιφόρου||||https://database.factgrid.de/entity/Q168179
Parmenas|m|Παρμενᾶς|||||Παρμενᾶν||https://database.factgrid.de/entity/Q168205
Patrobas|m|Πατροβας|||||Πατροβᾶν||https://database.factgrid.de/entity/Q168222
Paul|m|Παῦλος|παυλωι|Παῦλος|Παύλου|Παύλῳ|Παῦλον|Παῦλε|https://database.factgrid.de/entity/Q167894
Persis|m|Περσίς|||||Περσίδα||https://database.factgrid.de/entity/Q168253
Peter|m|Πέτρος|πετρωι,πετρως|Πέτρος|Πέτρου|Πέτρῳ|Πέτρον|Πέτρε|
Phalek|m|φαλεκ|||||||
Phanuel|m|Φανουήλ|||Φανουήλ||||https://database.factgrid.de/entity/Q168266
Phares|m|Φαρες|||||||
Phebe|f|Φοιβη|||||||https://database.factgrid.de/entity/Q168283
Philemon|m|Φιλήμων||||Φιλήμονι|||https://database.factgrid.de/entity/Q168285
Philetus|m|Φίλητος||Φίλητος|||||https://database.factgrid.de/entity/Q168286
Philip|m|Φίλιππος||Φίλιππος|Φιλίππου|Φιλίππῳ|Φίλιππον|Φίλιππε|https://database.factgrid.de/entity/Q168290,https://database.factgrid.de/entity/Q168287,https://database.factgrid.de/entity/Q168288
Philologus|m|Φιλόλογος|||||Φιλόλογον||https://database.factgrid.de/entity/Q168291
Phlegon|m|Φλέγων|||||Φλέγοντα||https://database.factgrid.de/entity/Q168295
Phygellus|m|Φύγελος|||||||https://database.factgrid.de/entity/Q168299
Pontius Pilate|m|Πιλᾶτος|πειλατος,πιλατος,πιλατοσ,πηλατος|Πιλᾶτος|Πιλάτου|Πιλάτῳ|Πιλᾶτον||https://database.factgrid.de/entity/Q168308
Porcius Festus|m|Πόρκιος Φηστος|||||||https://database.factgrid.de/entity/Q168310
Prisca|f|Πρισκα|πρισκιλλα,πρισκυλαν,πρισκυλλαν,πρισκιλαν,πρισκαν,πρισκυλλα,πρισκυλα,πισκιλλαν,πρισκιλα,πρισκιλλαν,πρισκηλα,πρισκιλλα|Πρίσκα,Πρίσκιλλα|||πρισκιλλαν,Πρίσκαν||https://database.factgrid.de/entity/Q168313
Prochorus|m|Πρόχορος|||||Πρόχορον||https://database.factgrid.de/entity/Q168315
Publius|m|Πόπλιος|||Ποπλίου|Ποπλίῳ|||https://database.factgrid.de/entity/Q168320
Publius Sulpicius Quirinius|m|Συρος Κυρήνιος|||||||https://database.factgrid.de/entity/Q166360
Pudens|m|Πούδης||Πούδης|||||https://database.factgrid.de/entity/Q168321
Quartus|m|Κούαρτος||Κούαρτος|||||https://database.factgrid.de/entity/Q168325
Qurinius|m|Κυρηνιος|||||||
Rachab|f|Ραχαβ|ρακαβ,ρηχαβ,ραχααβ||||||https://database.factgrid.de/entity/Q168333
Rachel|f|Ῥαχὴλ|ραχηηλ,ραχιηλ,ραχιλ|Ῥαχὴλ|||||
Ragau|m|Ραγαυ|||||||
Rebecca|f|Ῥεβέκκα|ρεβεκκαν,ρεβεκα,ρεββεκα,ρεβεκκας|Ῥεβέκκα|||||
Rehabeam|m|Ροβοαμ|||||||
Rhesa, son of Zorobabel|m|Ῥησά|||Ῥησά||||
Rhoda|f|Ῥόδη|ρωδη|Ῥόδη|||||https://database.factgrid.de/entity/Q168393
Ruben|m|Ρουβην|||||||
Rufus|m|Ῥοῦφος|||Ῥούφου||Ῥοῦφον||https://database.factgrid.de/entity/Q168404,https://database.factgrid.de/entity/Q168403
Ruth|m|Ῥούθ|||Ῥούθ||||
Sadoc, son of Azor|m|Σαδωκ|||||||https://database.factgrid.de/entity/Q168412
Salome|f|Σαλώμη|σαλομη,σαλωνη,σαλο|Σαλώμη|||||https://database.factgrid.de/entity/Q168425,https://database.factgrid.de/entity/Q166377
Samuel|m|Σαμουήλ|||Σαμουήλ||||
Sapphira|f|Σάπφειρα|Σάπφιρα,σαπφηρι,σαμφιρη,σαπφειρη,σαπφηρη,σαφφιρα,σαφφιρη,σαμφειρει,σαμφειρη,σαπφειρι,σαμφειρα,σαπφηρει,σαφφυρα,σαμπφηρα|||Σαπφίρῃ|||https://database.factgrid.de/entity/Q168433
Saul|m|Σαοὺλ|||||Σαοὺλ|Σαοὺλ|
Sceva|m|Σκευᾶς|||Σκευᾶ||||https://database.factgrid.de/entity/Q168446
Secundus|m|Σεκοῦνδος||Σεκοῦνδος|||||https://database.factgrid.de/entity/Q168448
Sem|m|Σημ|||||||
Semei, son of Joseph|m|Σεμεϊν|||Σεμεῒν||||https://database.factgrid.de/entity/Q168455
Sergius Paulus|m|Σέργιος Πα'υλος|||||||https://database.factgrid.de/entity/Q168469
Seruch|m|Σερουχ|||||||
Seth|m|Σήθ|||Σὴθ||||
Shealtiel, son of Jehoiachin (so 1 Chronicles) or Neri (so Luke)|m|Σαλαθιηλ|||||||https://database.factgrid.de/entity/Q168416
Silas|m|Σιλᾶς|σειλα|Σιλᾶς||σιλα|σιλαν||https://database.factgrid.de/entity/Q168747
Silvanus|m|Σιλουανός||Σιλουανός|Σιλουανοῦ||||
Simaias|m|Σιμαιας|||||||
Simeon|m|Συμεών||Συμεὼν|Συμεὼν||||https://database.factgrid.de/entity/Q168750,https://database.factgrid.de/entity/Q168751
